Tweet ID,Country,Date,Tweet,Definitely English,Ambiguous,Definitely Not English,Code-Switched,Ambiguous due to Named Entities,Automatically Generated Tweets,TemizTweet
434215992731136000,TR,2014-02-14,Bugün bulusmami lazimdiii,0,0,1,0,0,0,bugün bulusmami lazimdiii
285903159434563584,TR,2013-01-01,Volkan konak adami tribe sokar yemin ederim :D,0,0,1,0,0,0,volkan konak adami tribe sokar yemin ederim d
287649877515706368,TR,2013-01-05,Müdürlüğümüzün 2013 yılında hayata geçireceği projeler üzerinde ki çalışmalar sona yaklaşıldı.,0,0,1,0,0,0,müdürlüğümüzün yılında hayata geçireceği projeler üzerinde ki çalışmalar sona yaklaşıldı
290052131266895873,TR,2013-01-12,@bayaniglesias tamamdir kankiii :D,0,0,1,0,0,0,tamamdir kankiii d
295690949420544000,TR,2013-01-28,@fthylmz0 ooo fatih beg,0,0,1,0,0,0,ooo fatih beg
296054222259105792,TR,2013-01-29,@heylul sen bana aşık olunca devreleri fena yakmışsın diyeydin. Yazık la bebeye,0,0,1,0,0,0,sen bana aşık olunca devreleri fena yakmışsın diyeydin yazık la bebeye
296709091890454528,TR,2013-01-30,@cemilcahtcebeci @ozdvrsn direk 2 ilk yarıda ikinci yarıda ;),0,0,1,0,0,0,direk ilk yarıda ikinci yarıda
297317500738228225,TR,2013-02-01,@Merveozbekli evet bebegim cok ihmal ediyosun beni bugünlerde :D,0,0,1,0,0,0,evet bebegim cok ihmal ediyosun beni bugünlerde d
298142499103469568,TR,2013-02-03,"I'm at Heybeliada (İstanbul, Türkiye) http://t.co/aOatYqvK",1,0,0,0,0,1,im at heybeliada istanbul türkiye
298455041851928577,TR,2013-02-04,"I'm at Hacettepe Üniversitesi (Ankara, Türkiye) w/ 8 others http://t.co/CHYfmJXS",1,0,0,0,0,1,im at hacettepe üniversitesi ankara türkiye w others
298505210106630146,TR,2013-02-04,"I'm at Bistro Kafe (Tekirdağ, Türkiye) w/ 8 others http://t.co/ToaUaXHg",1,0,0,0,0,1,im at bistro kafe tekirdağ türkiye w others
299283178097635328,TR,2013-02-06,@cerenbora @selincataltepe @serkannncan kızlar o zaman yapın da yiyelim huehueuheuh,0,0,1,0,0,0,kızlar o zaman yapın da yiyelim huehueuheuh
299985295938551808,TR,2013-02-08,I'm at Bahçeli 7. Cadede w/ 2 others http://t.co/mKqV3Qkm,1,0,0,0,0,1,im at bahçeli cadede w others
299986369734905856,TR,2013-02-08,JOHNY SİNS ; ==========&gt;,0,1,0,0,0,0,johny sins gt
300575396905238528,TR,2013-02-10,@MelisaBieber_jb hadi leen :D,0,0,1,0,0,0,hadi leen d
301962189173039104,TR,2013-02-14,"I'm at İskenderun Otogarı (Hatay, Türkiye) http://t.co/7xtVoD6R",1,0,0,0,0,1,im at iskenderun otogarı hatay türkiye
302298135974268928,TR,2013-02-15,Güzel sanatlar degıl endüstri amk,0,0,1,0,0,0,güzel sanatlar degıl endüstri amk
302443443332993025,TR,2013-02-15,@waffleismyall ahahhahahahahahgaga,0,1,0,0,0,0,ahahhahahahahahgaga
302827591520362497,TR,2013-02-16,Mahalle yemegi :)) Taner (@ City's Mahalle w/ 12 others) http://t.co/3AcVswu8,0,0,1,0,0,0,mahalle yemegi taner citys mahalle w others
303547430425739264,TR,2013-02-18,Hastayım şu uykunun gelip beni bastırmasına 😩,0,0,1,0,0,0,hastayım şu uykunun gelip beni bastırmasına
304146515532869632,TR,2013-02-20,Kocaeliye doğru hareket yanmaz nano nani no dido dildo libido nano teknolojik kumas,0,0,1,0,0,0,kocaeliye doğru hareket yanmaz nano nani no dido dildo libido nano teknolojik kumas
305060412343349248,TR,2013-02-22,@sinanozn iyi yayinlar antalyadan teyzem nilgun ozgure kamuran hanimdan artik sevmeyecegim sarkisini armagan ediyorum cok tesekkur ederim...,0,0,1,0,0,0,iyi yayinlar antalyadan teyzem nilgun ozgure kamuran hanimdan artik sevmeyecegim sarkisini armagan ediyorum cok tesekkur ederim
309549185999462400,TR,2013-03-07,"\3 erkek yalanı; Özür dilerim, üzmek istemedim, seni seviyorum. 3 kadın yalanı; İyiyim ben, yoo valla kızmadım, seni sevmiyorum.\""""",0,0,1,0,0,0,erkek yalanı özür dilerim üzmek istemedim seni seviyorum kadın yalanı iyiyim ben yoo valla kızmadım seni sevmiyorum
309783853051023361,TR,2013-03-07,Fenerbahçe'li olmak ne guzel bir seyy :) Avrupanın Yükselen Güneşi FENERBAHÇE,0,0,1,0,0,0,fenerbahçeli olmak ne guzel bir seyy avrupanın yükselen güneşi fenerbahçe
311064717764472833,TR,2013-03-11,"I'm at Bulvar AVM (Samsun, Türkiye) w/ 6 others http://t.co/uWknOZRoNA",1,0,0,0,0,1,im at bulvar avm samsun türkiye w others
315222934241292289,TR,2013-03-22,"I'm at Petek Cafe (Hatay, Türkiye) w/ 4 others [pic]: http://t.co/IdKrSpXkAp",1,0,0,0,0,1,im at petek cafe hatay türkiye w others pic
316297430721245184,TR,2013-03-25,#leylailemecnunforever erdal abi caybana :),0,0,1,0,0,0,erdal abi caybana
318396478823464961,TR,2013-03-31,I'm at Altın Damak Künefe http://t.co/mfbQFMK9Ws,1,0,0,0,0,1,im at altın damak künefe
320501587514650624,TR,2013-04-06,"\Extreme mentality\"" @ Kalamış Sahili http://t.co/7Ay4hmqPiH""",1,0,0,0,0,0,extreme mentality kalamış sahili
321006967390892032,TR,2013-04-07,I'm at Havelka w/ @hgunguz http://t.co/eTPcxu2maU,1,0,0,0,0,1,im at havelka w
321210559120957441,TR,2013-04-08,Tam banyoya girecekken saclarinin cok güzel olduğunu fark edersin,0,0,1,0,0,0,tam banyoya girecekken saclarinin cok güzel olduğunu fark edersin
322399476490829824,TR,2013-04-11,"I'm at CafeCadde (İstanbul, Türkiye) w/ 42 others http://t.co/FXG7OXUnwV",1,0,0,0,0,1,im at cafecadde istanbul türkiye w others
322656247277031424,TR,2013-04-12,Sadece akıllı kadınlar herşeyi bildiğini belli etmez... ☺☺,0,0,1,0,0,0,sadece akıllı kadınlar herşeyi bildiğini belli etmez
322723041807314944,TR,2013-04-12,Arkadaslar oncelikle merhaba,0,0,1,0,0,0,arkadaslar oncelikle merhaba
323792954093350912,TR,2013-04-15,Bin beter ol demek isteğim insanlar var (@ Atatürk Oto Sanayi Sitesi w/ 5 others) http://t.co/klXtPATshn,0,0,1,0,0,0,bin beter ol demek isteğim insanlar var atatürk oto sanayi sitesi w others
